game_id,date,home_team,away_team,home_score,away_score,home_hits,away_hits,home_errors,away_errors,status,game_time,day_or_night,stadium,home_plate_umpire,inning_1_away,inning_1_home,inning_2_away,inning_2_home,inning_3_away,inning_3_home,inning_4_away,inning_4_home,inning_5_away,inning_5_home,inning_6_away,inning_6_home,inning_7_away,inning_7_home,inning_8_away,inning_8_home,inning_9_away,inning_9_home,inning_10_away,inning_10_home,inning_11_away,inning_11_home,inning_12_away,inning_12_home,inning_13_away,inning_13_home,inning_14_away,inning_14_home
745037,30/03/2024,Texas Rangers,Chicago Cubs,11,2,16,5,0,0,Final,30/03/2024 19:05,Noche,Globe Life Field,Carlos Torres,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,6,0,,,,,,,,,,,
745436,30/03/2024,San Diego Padres,San Francisco Giants,6,9,7,9,1,0,Final,30/03/2024 19:15,Noche,Petco Park,Vic Carapazza,0,0,2,0,0,0,0,0,1,0,0,1,0,0,6,0,0,5,,,,,,,,,,
746410,30/03/2024,Houston Astros,New York Yankees,3,5,4,8,1,3,Final,30/03/2024 19:15,Noche,Minute Maid Park,D.J. Reyburn,0,0,0,2,1,0,0,0,0,1,0,0,3,0,1,0,0,0,,,,,,,,,,
747221,30/03/2024,Arizona Diamondbacks,Colorado Rockies,4,9,8,10,1,0,Final,30/03/2024 20:10,Noche,Chase Field,Tony Randazzo,0,2,2,0,0,0,0,1,5,1,0,0,0,0,2,0,0,0,,,,,,,,,,
746168,30/03/2024,Los Angeles Dodgers,St. Louis Cardinals,5,6,14,7,1,0,Final,30/03/2024 21:10,Noche,Dodger Stadium,Nate Tomlinson,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,2,1,0,,,,,,,,
745278,30/03/2024,Seattle Mariners,Boston Red Sox,4,3,7,7,0,2,Final,30/03/2024 21:40,Noche,T-Mobile Park,Quinn Wolcott,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,,,,,,,,
747062,31/03/2024,Baltimore Orioles,Los Angeles Angels,1,4,3,6,1,1,Final,31/03/2024 13:35,Dia,Oriole Park at Camden Yards,Ramon De Jesus,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
745602,31/03/2024,Philadelphia Phillies,Atlanta Braves,5,4,9,7,0,0,Final,31/03/2024 13:35,Dia,Citizens Bank Park,Jeremie Rehak,2,1,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,,,,,,,,,,,
746739,31/03/2024,Cincinnati Reds,Washington Nationals,6,5,14,9,0,0,Final,31/03/2024 13:40,Dia,Great American Ball Park,Adam Beck,0,0,0,0,1,2,0,1,2,0,0,0,1,0,1,0,0,3,,,,,,,,,,
745115,31/03/2024,Tampa Bay Rays,Toronto Blue Jays,2,9,3,10,1,1,Final,31/03/2024 13:40,Dia,Tropicana Field,Derek Thomas,2,1,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,,,,,,,,,,
746090,31/03/2024,Miami Marlins,Pittsburgh Pirates,7,9,7,11,1,0,Final,31/03/2024 13:40,Dia,loanDepot park,Ryan Additon,0,5,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,2,0,,,,,,,,
745845,31/03/2024,New York Mets,Milwaukee Brewers,1,4,7,9,1,0,Final,31/03/2024 13:40,Dia,Citi Field,Jonathan Parra,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,
746332,31/03/2024,Kansas City Royals,Minnesota Twins,11,0,14,4,0,1,Final,31/03/2024 14:10,Dia,Kauffman Stadium,Mike Estabrook,0,3,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
746815,31/03/2024,Chicago White Sox,Detroit Tigers,2,3,5,8,1,0,Final,31/03/2024 14:10,Dia,Guaranteed Rate Field,Dan Merzel,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,,,,,,,,,,
746413,31/03/2024,Houston Astros,New York Yankees,3,4,12,10,0,1,Final,31/03/2024 14:10,Dia,Minute Maid Park,John Libka,0,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,,,,,,,,,,
745035,31/03/2024,Texas Rangers,Chicago Cubs,5,9,8,12,0,2,Final,31/03/2024 14:35,Dia,Globe Life Field,Nestor Ceja,3,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,
745683,31/03/2024,Oakland Athletics,Cleveland Guardians,4,3,9,7,3,0,Final,31/03/2024 16:07,Dia,Oakland Coliseum,Nick Mahrley,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,,,,,,,,,,
747222,31/03/2024,Arizona Diamondbacks,Colorado Rockies,5,1,5,8,0,3,Final,31/03/2024 16:10,Dia,Chase Field,Alex Tosi,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,,,,,,,,,,,
